"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Create file","LMS service","Tue Dec 02 10:10:16 UTC 2025","passed","Tue Dec 02 10:10:17 UTC 2025","Create entity","Files","",""
"","267","Create file with empty directory","LMS service","Tue Dec 02 10:10:19 UTC 2025","passed","Tue Dec 02 10:10:19 UTC 2025","Validate entity","Files","",""
"","285","Delete exercise","LMS service","Tue Dec 02 10:10:15 UTC 2025","passed","Tue Dec 02 10:10:16 UTC 2025","Delete entity","Exercises","",""
"","258","Get file with incorrect file id","LMS service","Tue Dec 02 10:10:17 UTC 2025","passed","Tue Dec 02 10:10:18 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Tue Dec 02 10:10:21 UTC 2025","passed","Tue Dec 02 10:10:21 UTC 2025","Get entity","Users","",""
"","261","Create file with empty filename","LMS service","Tue Dec 02 10:10:18 UTC 2025","passed","Tue Dec 02 10:10:18 UTC 2025","Validate entity","Files","",""
"","543","Create user","LMS service","Tue Dec 02 10:10:20 UTC 2025","passed","Tue Dec 02 10:10:20 UTC 2025","Create entity","Users","",""
"","285","Update exercise","LMS service","Tue Dec 02 10:10:14 UTC 2025","passed","Tue Dec 02 10:10:14 UTC 2025","Update entity","Exercises","",""
"","27","Get courses","LMS service","Tue Dec 02 10:10:12 UTC 2025","passed","Tue Dec 02 10:10:12 UTC 2025","Get entities","Courses","",""
"","285","Create user","LMS service","Tue Dec 02 10:10:20 UTC 2025","passed","Tue Dec 02 10:10:20 UTC 2025","Create entity","Users","",""
"","545","Create user","LMS service","Tue Dec 02 10:10:19 UTC 2025","passed","Tue Dec 02 10:10:19 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Tue Dec 02 10:10:16 UTC 2025","passed","Tue Dec 02 10:10:16 UTC 2025","Get entities","Exercises","",""
"","21","Delete file","LMS service","Tue Dec 02 10:10:19 UTC 2025","passed","Tue Dec 02 10:10:20 UTC 2025","Delete entity","Files","",""
"","281","Login with correct email and password","LMS service","Tue Dec 02 10:10:11 UTC 2025","passed","Tue Dec 02 10:10:11 UTC 2025","Login","Authentication","",""
"","26","Create course","LMS service","Tue Dec 02 10:10:12 UTC 2025","passed","Tue Dec 02 10:10:12 UTC 2025","Create entity","Courses","",""
"","290","Create exercise","LMS service","Tue Dec 02 10:10:13 UTC 2025","passed","Tue Dec 02 10:10:14 UTC 2025","Create entity","Exercises","",""
"","11","Get file","LMS service","Tue Dec 02 10:10:17 UTC 2025","passed","Tue Dec 02 10:10:17 UTC 2025","Get entity","Files","",""
"","297","Update course","LMS service","Tue Dec 02 10:10:13 UTC 2025","passed","Tue Dec 02 10:10:13 UTC 2025","Update entity","Courses","",""
"","22","Get exercise","LMS service","Tue Dec 02 10:10:15 UTC 2025","passed","Tue Dec 02 10:10:15 UTC 2025","Get entity","Exercises","",""
