"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","521","Create user","LMS service","Tue Dec 02 10:27:33 UTC 2025","passed","Tue Dec 02 10:27:34 UTC 2025","Create entity","Users","",""
"","20","Create exercise","LMS service","Tue Dec 02 10:27:27 UTC 2025","passed","Tue Dec 02 10:27:27 UTC 2025","Create entity","Exercises","",""
"","15","Get file","LMS service","Tue Dec 02 10:27:32 UTC 2025","passed","Tue Dec 02 10:27:32 UTC 2025","Get entity","Files","",""
"","284","Login with correct email and password","LMS service","Tue Dec 02 10:27:25 UTC 2025","passed","Tue Dec 02 10:27:25 UTC 2025","Login","Authentication","",""
"","527","Create user","LMS service","Tue Dec 02 10:27:34 UTC 2025","passed","Tue Dec 02 10:27:34 UTC 2025","Create entity","Users","",""
"","24","Get exercise","LMS service","Tue Dec 02 10:27:28 UTC 2025","passed","Tue Dec 02 10:27:28 UTC 2025","Get entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Tue Dec 02 10:27:33 UTC 2025","passed","Tue Dec 02 10:27:33 UTC 2025","Validate entity","Files","",""
"","22","Update exercise","LMS service","Tue Dec 02 10:27:28 UTC 2025","passed","Tue Dec 02 10:27:28 UTC 2025","Update entity","Exercises","",""
"","539","Create user","LMS service","Tue Dec 02 10:27:34 UTC 2025","passed","Tue Dec 02 10:27:35 UTC 2025","Create entity","Users","",""
"","120","Delete exercise","LMS service","Tue Dec 02 10:27:30 UTC 2025","passed","Tue Dec 02 10:27:30 UTC 2025","Delete entity","Exercises","",""
"","22","Create file","LMS service","Tue Dec 02 10:27:31 UTC 2025","passed","Tue Dec 02 10:27:31 UTC 2025","Create entity","Files","",""
"","28","Create course","LMS service","Tue Dec 02 10:27:26 UTC 2025","passed","Tue Dec 02 10:27:26 UTC 2025","Create entity","Courses","",""
"","299","Update course","LMS service","Tue Dec 02 10:27:27 UTC 2025","passed","Tue Dec 02 10:27:27 UTC 2025","Update entity","Courses","",""
"","24","Create file with empty directory","LMS service","Tue Dec 02 10:27:33 UTC 2025","passed","Tue Dec 02 10:27:33 UTC 2025","Validate entity","Files","",""
"","30","Get courses","LMS service","Tue Dec 02 10:27:25 UTC 2025","passed","Tue Dec 02 10:27:25 UTC 2025","Get entities","Courses","",""
"","15","Get file with incorrect file id","LMS service","Tue Dec 02 10:27:32 UTC 2025","passed","Tue Dec 02 10:27:32 UTC 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Tue Dec 02 10:27:34 UTC 2025","passed","Tue Dec 02 10:27:34 UTC 2025","Delete entity","Files","",""
"","11","Get user me","LMS service","Tue Dec 02 10:27:35 UTC 2025","passed","Tue Dec 02 10:27:35 UTC 2025","Get entity","Users","",""
"","292","Get exercises","LMS service","Tue Dec 02 10:27:31 UTC 2025","passed","Tue Dec 02 10:27:31 UTC 2025","Get entities","Exercises","",""
